company_id,symbol_short,company_name_api,report_count
2279,PLR,PRIME LANDS RESIDENCIES PLC,37
2353,JAT,JAT HOLDINGS PLC,27
2352,SIC,SANASA LIFE INSURANCE COMPANY PLC,35
2386,EML,E M L CONSULTANTS PLC,24
2442,LOCH,LOLC CEYLON HOLDINGS PLC,12
2512,LCBF,LANKA CREDIT AND BUSINESS FINANCE PLC,31
2511,PACK,EX-PACK CORRUGATED CARTONS PLC,29
2567,SDF,SARVODAYA DEVELOPMENT FINANCE PLC,27
2647,CALT,CAPITAL ALLIANCE PLC,30
2652,HBS,HSENID BUSINESS SOLUTIONS PLC,25
2672,MDL,MYLAND DEVELOPMENTS PLC,25
2692,COOP,CO-OPERATIVE INSURANCE COMPANY PLC,34
2693,LGIL,LOLC GENERAL INSURANCE PLC,32
2714,KPHL,KAPRUKA HOLDINGS PLC,23
2727,HELA,HELA APPAREL HOLDINGS PLC,28
2741,EXT,EXTERMINATORS PLC,27
2774,AFS,ALPHA FIRE SERVICES PLC,20
2790,LUMX,LUMINEX PLC,28
2998,UBF,UB FINANCE PLC,19
